depth,deviation,backstep,pivot_count,swing_count,median_swing_pips,median_bars,median_efficiency,mean_efficiency,deviation_pips,robustness_score,depth_distance,deviation_distance,backstep_distance
350,25,20,732,731,36.599999999999966,397.0,0.11941316956669695,0.14577200883224425,2.5,1.0,0,125,20
350,25,40,732,731,36.599999999999966,397.0,0.11941316956669695,0.14577200883224425,2.5,1.0,0,125,0
350,50,20,732,731,36.599999999999966,397.0,0.11941316956669695,0.14577200883224425,5.0,1.0,0,100,20
350,50,40,732,731,36.599999999999966,397.0,0.11941316956669695,0.14577200883224425,5.0,1.0,0,100,0
350,75,20,732,731,36.599999999999966,397.0,0.11941316956669695,0.14577200883224425,7.5,1.0,0,75,20
350,75,40,732,731,36.599999999999966,397.0,0.11941316956669695,0.14577200883224425,7.5,1.0,0,75,0
350,100,20,732,731,36.599999999999966,397.0,0.11941316956669695,0.14577200883224425,10.0,1.0,0,50,20
350,100,40,732,731,36.599999999999966,397.0,0.11941316956669695,0.14577200883224425,10.0,1.0,0,50,0
350,125,20,732,731,36.599999999999966,397.0,0.11941316956669695,0.14577200883224425,12.5,1.0,0,25,20
350,125,40,732,731,36.599999999999966,397.0,0.11941316956669695,0.14577200883224425,12.5,1.0,0,25,0
350,150,20,732,731,36.599999999999966,397.0,0.11941316956669695,0.14577200883224425,15.0,1.0,0,0,20
350,150,40,732,731,36.599999999999966,397.0,0.11941316956669695,0.14577200883224425,15.0,1.0,0,0,0
350,175,20,732,731,36.599999999999966,397.0,0.11941316956669695,0.14577200883224425,17.5,1.0,0,25,20
350,175,40,732,731,36.599999999999966,397.0,0.11941316956669695,0.14577200883224425,17.5,1.0,0,25,0
350,200,20,732,731,36.599999999999966,397.0,0.11941316956669695,0.14577200883224425,20.0,1.0,0,50,20
350,200,40,732,731,36.599999999999966,397.0,0.11941316956669695,0.14577200883224425,20.0,1.0,0,50,0
350,225,20,732,731,36.599999999999966,397.0,0.11941316956669695,0.14577200883224425,22.5,1.0,0,75,20
350,225,40,732,731,36.599999999999966,397.0,0.11941316956669695,0.14577200883224425,22.5,1.0,0,75,0
350,250,20,732,731,36.599999999999966,397.0,0.11941316956669695,0.14577200883224425,25.0,1.0,0,100,20
350,250,40,732,731,36.599999999999966,397.0,0.11941316956669695,0.14577200883224425,25.0,1.0,0,100,0
350,25,60,728,727,36.800000000001276,399.0,0.1180904522613029,0.1442694087158416,2.5,0.9929496340731938,0,125,20
350,50,60,728,727,36.800000000001276,399.0,0.1180904522613029,0.1442694087158416,5.0,0.9929496340731938,0,100,20
